iter	Passed	Remaining
0	254	254671
1	351	175202
2	435	144603
3	541	134876
4	643	127978
5	745	123462
6	850	120718
7	934	115909
8	1025	112955
9	1106	109535
10	1186	106669
11	1264	104128
12	1351	102636
13	1419	99991
14	1474	96841
15	1537	94530
16	1598	92436
17	1655	90342
18	1723	88972
19	1779	87190
20	1832	85451
21	1886	83849
22	1944	82587
23	2001	81413
24	2058	80278
25	2113	79181
26	2169	78183
27	2226	77304
28	2281	76399
29	2336	75533
30	2394	74842
31	2456	74305
32	2509	73523
33	2564	72869
34	2645	72931
35	2747	73560
36	2844	74037
37	2945	74562
38	3022	74470
39	3093	74241
40	3179	74372
41	3264	74455
42	3359	74763
43	3439	74723
44	3500	74288
45	3564	73921
46	3634	73703
47	3700	73403
48	3776	73301
49	3849	73138
50	3920	72944
51	3988	72716
52	4059	72542
53	4120	72185
54	4181	71839
55	4245	71559
56	4306	71244
57	4372	71014
58	4441	70835
59	4509	70645
60	4573	70401
61	4635	70131
62	4701	69929
63	4769	69753
64	4837	69589
65	4908	69466
66	4971	69226
67	5034	69003
68	5101	68831
69	5170	68688
70	5267	68918
71	5370	69216
72	5472	69491
73	5552	69478
74	5636	69516
75	5747	69876
76	5848	70111
77	5950	70338
78	6045	70484
79	6138	70589
80	6230	70690
81	6329	70858
82	6437	71122
83	6524	71149
84	6603	71084
85	6685	71057
86	6797	71336
87	6896	71469
88	6993	71584
89	7081	71598
90	7169	71613
91	7277	71827
92	7392	72093
93	7480	72095
94	7576	72172
95	7666	72188
96	7763	72271
97	7860	72349
98	7948	72340
99	8011	72101
100	8076	71888
101	8140	71669
102	8204	71454
103	8264	71204
104	8325	70967
105	8388	70746
106	8448	70506
107	8512	70308
108	8577	70114
109	8643	69932
110	8711	69771
111	8779	69611
112	8845	69434
113	8910	69251
114	8976	69077
115	9037	68871
116	9100	68678
117	9163	68496
118	9224	68294
119	9291	68136
120	9395	68255
121	9510	68443
122	9614	68551
123	9710	68598
124	9813	68692
125	9918	68800
126	10017	68862
127	10099	68803
128	10182	68751
129	10263	68687
130	10346	68636
131	10434	68612
132	10516	68557
133	10589	68438
134	10649	68236
135	10716	68081
136	10785	67937
137	10885	67993
138	10985	68049
139	11079	68057
140	11175	68083
141	11260	68036
142	11356	68057
143	11457	68108
144	11561	68173
145	11654	68172
146	11753	68199
147	11838	68148
148	11918	68072
149	12004	68026
150	12089	67973
151	12163	67861
152	12226	67685
153	12290	67517
154	12352	67341
155	12412	67154
156	12477	66997
157	12539	66822
158	12602	66657
159	12668	66510
160	12737	66375
161	12799	66209
162	12861	66045
163	12922	65871
164	12988	65731
165	13057	65604
166	13124	65464
167	13187	65308
168	13252	65166
169	13316	65017
170	13382	64877
171	13448	64738
172	13514	64603
173	13575	64442
174	13643	64319
175	13716	64217
176	13785	64100
177	13851	63965
178	13922	63855
179	13991	63737
180	14056	63605
181	14129	63507
182	14207	63427
183	14283	63343
184	14365	63286
185	14456	63266
186	14534	63188
187	14608	63095
188	14697	63068
189	14776	62996
190	14854	62915
191	14925	62810
192	14997	62708
193	15070	62611
194	15139	62500
195	15211	62399
196	15285	62305
197	15357	62206
198	15428	62100
199	15545	62181
200	15694	62388
201	15815	62479
202	15906	62450
203	16007	62459
204	16110	62476
205	16223	62529
206	16326	62546
207	16427	62550
208	16529	62559
209	16626	62545
210	16723	62536
211	16815	62503
212	16886	62393
213	16962	62299
214	17045	62237
215	17164	62299
216	17272	62324
217	17383	62358
218	17474	62318
